"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2011252432316321973","Taqiyatjou got cooked live 😂😂😂😂 https://t.co/tjyEmqW2nQ","in","Retweet","ONE","One_Dawah","23040","20","17","0","296","48","2026-01-14 03:42:01","https://x.com/One_Dawah/status/2011252432316321973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-lnbcFWMAAcicr.jpg"
"2011252432316321973","Taqiyatjou got cooked live 😂😂😂😂 https://t.co/tjyEmqW2nQ","in","Tweet","ONE","One_Dawah","23040","20","17","0","296","48","2026-01-14 03:42:01","https://x.com/One_Dawah/status/2011252432316321973","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-lnbcFWMAAcicr.jpg"
"2011176011103404251","But, but, Khamenei's fatwa.... 

Don’t fall for the deception of Khamenei’s defender, Taqiyatjou 

The reality is that cursing the Sahaba (Aisha, Umar, Uthman, Abu Bakr) is common ritual in 🇮🇷

May Allah curse those who curse the Sahaba","en","Retweet","ONE","One_Dawah","33183","64","87","7","490","163","2026-01-13 22:38:21","https://x.com/One_Dawah/status/2011176011103404251","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/amplify_video/2011175498701828096/vid/avc1/640x360/3QlWLLnH29laudSt.mp4?tag=21"
"2011176011103404251","But, but, Khamenei's fatwa.... 

Don’t fall for the deception of Khamenei’s defender, Taqiyatjou 

The reality is that cursing the Sahaba (Aisha, Umar, Uthman, Abu Bakr) is common ritual in 🇮🇷

May Allah curse those who curse the Sahaba","en","Tweet","ONE","One_Dawah","33183","64","87","7","490","163","2026-01-13 22:38:21","https://x.com/One_Dawah/status/2011176011103404251","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/amplify_video/2011175498701828096/vid/avc1/640x360/3QlWLLnH29laudSt.mp4?tag=21"
"2011033875758371170","Love someone who curses the Sahaba, Aisha and attacks and hates the Sunnah 🤗 https://t.co/TVTMGUecIT","en","Retweet","ONE","One_Dawah","76647","203","75","13","1045","95","2026-01-13 13:13:33","https://x.com/One_Dawah/status/2011033875758371170","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-igpz9XsAEcgoV.jpg"
"2011033875758371170","Love someone who curses the Sahaba, Aisha and attacks and hates the Sunnah 🤗 https://t.co/TVTMGUecIT","en","Tweet","ONE","One_Dawah","76647","203","75","13","1045","95","2026-01-13 13:13:33","https://x.com/One_Dawah/status/2011033875758371170","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-igpz9XsAEcgoV.jpg"
"2010721952755748901","There is no ""Abrahamic religion"" with Jews and Christians","en","Retweet","ONE","One_Dawah","94243","16","249","7","1678","559","2026-01-12 16:34:05","https://x.com/One_Dawah/status/2010721952755748901","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2010721730411610113/pu/vid/avc1/1920x1080/wOgVoYJ1vlXTGDWY.mp4?tag=19"
"2010721952755748901","There is no ""Abrahamic religion"" with Jews and Christians","en","Tweet","ONE","One_Dawah","94243","16","249","7","1678","559","2026-01-12 16:34:05","https://x.com/One_Dawah/status/2010721952755748901","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2010721730411610113/pu/vid/avc1/1920x1080/wOgVoYJ1vlXTGDWY.mp4?tag=19"
"2010277153863049543","A very wholesome interaction between a shaykh and an African brother inside Masjid Nabawi https://t.co/k6zQCaFrCE","en","Retweet","ONE","One_Dawah","46538","4","47","4","1094","245","2026-01-11 11:06:37","https://x.com/One_Dawah/status/2010277153863049543","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2010277023357206528/pu/vid/avc1/1080x1920/dgJutmFr835RpxxI.mp4?tag=19"
"2010277153863049543","A very wholesome interaction between a shaykh and an African brother inside Masjid Nabawi https://t.co/k6zQCaFrCE","en","Tweet","ONE","One_Dawah","46538","4","47","4","1094","245","2026-01-11 11:06:37","https://x.com/One_Dawah/status/2010277153863049543","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2010277023357206528/pu/vid/avc1/1080x1920/dgJutmFr835RpxxI.mp4?tag=19"
"2009681356758909335","A man who claimed to be a prophet  came to Sh. Abdurazzaq Al Badr","en","Retweet","ONE","One_Dawah","11013","3","43","2","293","107","2026-01-09 19:39:08","https://x.com/One_Dawah/status/2009681356758909335","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2009681262831693824/pu/vid/avc1/1280x720/8Odf38lNKUfhSRJA.mp4?tag=19"
"2009681356758909335","A man who claimed to be a prophet  came to Sh. Abdurazzaq Al Badr","en","Tweet","ONE","One_Dawah","11013","3","43","2","293","107","2026-01-09 19:39:08","https://x.com/One_Dawah/status/2009681356758909335","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2009681262831693824/pu/vid/avc1/1280x720/8Odf38lNKUfhSRJA.mp4?tag=19"
"2008247714556059972","May Allah guide Anthony Joshua to Islam https://t.co/nfduIPLaEm","en","Origin","ONE","One_Dawah","64722","78","419","10","5383","251","2026-01-05 20:42:21","https://x.com/One_Dawah/status/2008247714556059972","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2008247655579746305/pu/vid/avc1/576x1024/j5r9YF7f1wJsVSuI.mp4?tag=19"
"2008600359946600766","For the haters and liars:

AJ acknowledging he was listening to the Quran","en","Reply","ONE","One_Dawah","1581","2","7","1","46","3","2026-01-06 20:03:38","https://x.com/One_Dawah/status/2008600359946600766","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","video","https://video.twimg.com/ext_tw_video/2008600311988969472/pu/vid/avc1/1080x1350/iIUlLPQfV5A-MWu6.mp4?tag=19"
