threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.23,0.5891472868217055,0.5690974021372048,0.375,0.9574468085106383,0.5389221556886228,0.7305194805194806
0.24,0.6046511627906976,0.5810625440255069,0.391304347826087,0.9574468085106383,0.5555555555555556,0.7425742574257426
0.25,0.624031007751938,0.599785754709354,0.411214953271028,0.9361702127659575,0.5714285714285714,0.7457627118644068
0.26,0.627906976744186,0.6045529957464827,0.4174757281553398,0.9148936170212766,0.5733333333333334,0.738831615120275
0.27,0.6434108527131783,0.6187101788830068,0.44329896907216493,0.9148936170212766,0.5972222222222222,0.7543859649122807
0.28,0.6434108527131783,0.6187101788830068,0.44329896907216493,0.9148936170212766,0.5972222222222222,0.7543859649122807
0.29,0.6472868217054264,0.6210206351237165,0.45652173913043476,0.8936170212765957,0.60431654676259,0.75
0.3,0.6589147286821705,0.6309539252511861,0.4772727272727273,0.8936170212765957,0.6222222222222222,0.7608695652173914
0.31,0.6782945736434108,0.6530452948837108,0.5125,0.8723404255319149,0.6456692913385826,0.7649253731343284
0.32,0.7015503875968992,0.6743996743996744,0.5571428571428572,0.8297872340425532,0.6666666666666666,0.7558139534883721
0.33,0.7170542635658915,0.6910331277192459,0.6333333333333333,0.8085106382978723,0.7102803738317757,0.7661290322580645
0.34,0.7170542635658915,0.6840595881293555,0.6538461538461539,0.723404255319149,0.6868686868686869,0.7083333333333334
0.35,0.7209302325581395,0.6861314233197474,0.673469387755102,0.7021276595744681,0.6875,0.6962025316455697
0.36,0.7248062015503876,0.693754530711686,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.7021276595744681
0.37,0.7325581395348837,0.69992684992685,0.7441860465116279,0.6808510638297872,0.7111111111111111,0.6926406926406926
0.38,0.7403100775193798,0.7079895496002879,0.7804878048780488,0.6808510638297872,0.7272727272727273,0.6986899563318777
0.39,0.7364341085271318,0.7022078704237625,0.775,0.6595744680851063,0.7126436781609196,0.6798245614035088
0.4,0.7325581395348837,0.6963188232955675,0.7692307692307693,0.6382978723404256,0.6976744186046512,0.6607929515418502
0.41,0.7286821705426356,0.6904810486067418,0.7777777777777778,0.5957446808510638,0.6746987951807228,0.625
0.42,0.7364341085271318,0.7009057453760984,0.84375,0.574468085106383,0.6835443037974683,0.6136363636363636
0.43,0.7403100775193798,0.7072683142989505,0.8709677419354839,0.574468085106383,0.6923076923076923,0.6164383561643836
0.44,0.7364341085271318,0.7007301156554888,0.8666666666666667,0.5531914893617021,0.6753246753246753,0.5963302752293578
0.45,0.7286821705426356,0.6858823529411765,0.8571428571428571,0.5106382978723404,0.64,0.5555555555555556
0.46,0.7248062015503876,0.6788847671200613,0.8518518518518519,0.48936170212765956,0.6216216216216216,0.5348837209302325
0.47,0.7054263565891473,0.6400262651845599,0.8181818181818182,0.3829787234042553,0.5217391304347826,0.42857142857142855
0.48,0.7054263565891473,0.6411241081378186,0.8571428571428571,0.3829787234042553,0.5294117647058824,0.430622009569378
0.49,0.7015503875968992,0.6323688998373828,0.85,0.3617021276595745,0.5074626865671642,0.40865384615384615
0.5,0.6976744186046512,0.6239817530140112,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.3864734299516908
0.51,0.6976744186046512,0.6239817530140112,0.8421052631578947,0.3404255319148936,0.48484848484848486,0.3864734299516908
0.52,0.7015503875968992,0.6297778481718084,0.8888888888888888,0.3404255319148936,0.49230769230769234,0.3883495145631068
0.53,0.6976744186046512,0.6204935256701499,0.8823529411764706,0.3191489361702128,0.46875,0.36585365853658536
0.54,0.6937984496124031,0.6115480545533533,0.875,0.2978723404255319,0.4444444444444444,0.3431372549019608
0.55,0.689922480620155,0.6023466411926203,0.8666666666666667,0.2765957446808511,0.41935483870967744,0.32019704433497537
0.56,0.689922480620155,0.5963577644209205,0.9230769230769231,0.2553191489361702,0.4,0.29850746268656714
0.57,0.686046511627907,0.5859064825922214,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.275
0.58,0.686046511627907,0.5859064825922214,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.275
0.59,0.686046511627907,0.5859064825922214,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.275
0.6,0.686046511627907,0.5859064825922214,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.275
