threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.56,0.7042801556420234,0.5985968054933571,0.9230769230769231,0.24,0.38095238095238093,0.28169014084507044
0.57,0.7042801556420234,0.5985968054933571,0.9230769230769231,0.24,0.38095238095238093,0.28169014084507044
0.58,0.7042801556420234,0.5985968054933571,0.9230769230769231,0.24,0.38095238095238093,0.28169014084507044
0.59,0.7042801556420234,0.5985968054933571,0.9230769230769231,0.24,0.38095238095238093,0.28169014084507044
0.6,0.7003891050583657,0.5890497719126752,0.9166666666666666,0.22,0.3548387096774194,0.25943396226415094
0.61,0.6964980544747081,0.5802120584729281,1.0,0.2,0.3333333333333333,0.23809523809523808
0.62,0.688715953307393,0.5594063237741399,1.0,0.16,0.27586206896551724,0.19230769230769232
0.63,0.6848249027237354,0.5478046969275039,1.0,0.14,0.24561403508771928,0.16908212560386474
0.64,0.6770428015564203,0.5249109947204877,1.0,0.1,0.18181818181818182,0.12195121951219512
0.65,0.6770428015564203,0.5249109947204877,1.0,0.1,0.18181818181818182,0.12195121951219512
0.66,0.6731517509727627,0.5128809110782392,1.0,0.08,0.14814814814814814,0.09803921568627451
0.67,0.6731517509727627,0.5128809110782392,1.0,0.08,0.14814814814814814,0.09803921568627451
0.68,0.6731517509727627,0.5128809110782392,1.0,0.08,0.14814814814814814,0.09803921568627451
0.69,0.6731517509727627,0.5128809110782392,1.0,0.08,0.14814814814814814,0.09803921568627451
0.7,0.6731517509727627,0.5128809110782392,1.0,0.08,0.14814814814814814,0.09803921568627451
0.71,0.669260700389105,0.5004322241406554,1.0,0.06,0.11320754716981132,0.07389162561576355
0.72,0.669260700389105,0.5004322241406554,1.0,0.06,0.11320754716981132,0.07389162561576355
0.73,0.6653696498054474,0.4868411227166232,1.0,0.04,0.07692307692307693,0.04950495049504951
0.74,0.6653696498054474,0.4868411227166232,1.0,0.04,0.07692307692307693,0.04950495049504951
0.75,0.6653696498054474,0.4868411227166232,1.0,0.04,0.07692307692307693,0.04950495049504951
0.76,0.6653696498054474,0.4868411227166232,1.0,0.04,0.07692307692307693,0.04950495049504951
0.77,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.78,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.79,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.8,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.81,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.82,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.83,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.84,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.85,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.86,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
0.87,0.6614785992217899,0.47347504684100805,1.0,0.02,0.0392156862745098,0.024875621890547265
